iter	Accuracy	Logloss
0	0.8412921348	0.6729000633
1	0.8426966292	0.6523606344
2	0.8342696629	0.6336981378
3	0.8342696629	0.6190378877
4	0.8342696629	0.6058617185
5	0.8356741573	0.5920852803
6	0.8356741573	0.5815603918
7	0.8398876404	0.5712249045
8	0.8328651685	0.5600138387
9	0.8342696629	0.5495718307
10	0.8342696629	0.5396880062
11	0.8356741573	0.5290620235
12	0.8370786517	0.5212702694
13	0.8356741573	0.5138485946
14	0.8342696629	0.5046315042
15	0.8342696629	0.4972609988
16	0.8370786517	0.4896615162
17	0.8370786517	0.4849717703
18	0.8384831461	0.4783997732
19	0.8384831461	0.4724673289
20	0.8370786517	0.4666073364
21	0.8398876404	0.4618886244
22	0.8412921348	0.4568268555
23	0.8412921348	0.4522858375
24	0.8441011236	0.4489426626
25	0.845505618	0.4445409917
26	0.8441011236	0.440291711
27	0.8398876404	0.4388258465
28	0.8384831461	0.4351303055
29	0.8398876404	0.4311165115
30	0.845505618	0.4270049567
31	0.8441011236	0.424340579
32	0.8441011236	0.4216689819
33	0.845505618	0.4177154006
34	0.845505618	0.4148294362
35	0.845505618	0.413068786
36	0.8469101124	0.4107671917
37	0.8469101124	0.4087717066
38	0.8469101124	0.4082649731
39	0.8483146067	0.4067048078
40	0.8483146067	0.4053103367
41	0.8483146067	0.4047068773
42	0.8483146067	0.402298215
43	0.8497191011	0.3994636394
44	0.8483146067	0.3978418887
45	0.8469101124	0.3963922083
46	0.845505618	0.3948287365
47	0.845505618	0.3938462844
48	0.845505618	0.3919579248
49	0.8469101124	0.3906778125
50	0.8483146067	0.3888076525
51	0.8469101124	0.3871101135
52	0.8483146067	0.3858637267
53	0.8497191011	0.3855476167
54	0.8483146067	0.3848851637
55	0.8483146067	0.3828152151
56	0.8497191011	0.3819445375
57	0.8483146067	0.3806524661
58	0.8483146067	0.3797297792
59	0.8483146067	0.3790470219
60	0.8483146067	0.3776683363
61	0.8483146067	0.3761687916
62	0.8483146067	0.3755747171
63	0.8483146067	0.3740017837
64	0.845505618	0.3725546571
65	0.8469101124	0.371367798
66	0.845505618	0.370753385
67	0.845505618	0.3702776199
68	0.845505618	0.3700112943
69	0.845505618	0.3689144801
70	0.845505618	0.368294824
71	0.8469101124	0.3675572104
72	0.8469101124	0.3669305747
73	0.8483146067	0.3660805701
74	0.8483146067	0.3653267731
75	0.8469101124	0.3646660996
76	0.8483146067	0.3643902859
77	0.8497191011	0.3637018644
78	0.8483146067	0.3628238239
79	0.8497191011	0.3618665057
80	0.8553370787	0.3612249735
81	0.8553370787	0.3606691567
82	0.8539325843	0.3596494791
83	0.8539325843	0.3591107537
84	0.8553370787	0.3582055728
85	0.8539325843	0.3576056606
86	0.8525280899	0.3565638358
87	0.8525280899	0.3560052046
88	0.8539325843	0.3555585363
89	0.8539325843	0.3548718292
90	0.8553370787	0.3536677187
91	0.8553370787	0.3530226222
92	0.8539325843	0.3522801097
93	0.8553370787	0.3518203192
94	0.8553370787	0.3510610004
95	0.8539325843	0.3504138805
96	0.8539325843	0.3500786572
97	0.8539325843	0.3494052772
98	0.8525280899	0.3487567307
99	0.8553370787	0.3484463743
100	0.8581460674	0.3479850832
101	0.856741573	0.3472626019
102	0.8553370787	0.3465888504
103	0.8553370787	0.3457246001
104	0.8581460674	0.3448008681
105	0.8581460674	0.3447537873
106	0.8581460674	0.3440927783
107	0.8595505618	0.3439298615
108	0.8595505618	0.3434542635
109	0.8595505618	0.3425634776
110	0.8609550562	0.3421264223
111	0.8609550562	0.3415386344
112	0.8623595506	0.3408974001
113	0.8623595506	0.3405381315
114	0.8637640449	0.3397547212
115	0.8637640449	0.3392499403
116	0.8637640449	0.3387705465
117	0.8637640449	0.3384118997
118	0.8665730337	0.3376263357
119	0.8665730337	0.3367785207
120	0.8665730337	0.33658543
121	0.8665730337	0.3360496445
122	0.8665730337	0.3356212596
123	0.8679775281	0.334760732
124	0.8679775281	0.3342754512
125	0.8665730337	0.3339276348
126	0.8665730337	0.3336662732
127	0.8693820225	0.3332224364
128	0.8693820225	0.332667889
129	0.8707865169	0.3324760753
130	0.8693820225	0.3322065155
131	0.8707865169	0.3319542759
132	0.8693820225	0.331360345
133	0.8707865169	0.3308646537
134	0.8735955056	0.3304628396
135	0.8707865169	0.3300376849
136	0.8707865169	0.3293301232
137	0.8735955056	0.3290867626
138	0.8735955056	0.3289511137
139	0.8735955056	0.3285563945
140	0.8735955056	0.3281644903
141	0.8735955056	0.3275208505
142	0.875	0.3272285323
143	0.875	0.3265649343
144	0.8721910112	0.3262929673
145	0.875	0.3261746417
146	0.8707865169	0.3256912535
147	0.8707865169	0.325621717
148	0.8707865169	0.3250161024
149	0.8735955056	0.3241707492
150	0.875	0.3238037511
151	0.8721910112	0.3233754344
152	0.8707865169	0.3228938816
153	0.8707865169	0.3222841008
154	0.8721910112	0.3221005236
155	0.875	0.3214825525
156	0.8735955056	0.321264923
157	0.8735955056	0.3209189232
158	0.8721910112	0.3200346781
159	0.8721910112	0.3198530709
160	0.8721910112	0.3193475255
161	0.8735955056	0.3189182765
162	0.875	0.3186236943
163	0.8735955056	0.3181715089
164	0.8792134831	0.3169993122
165	0.8806179775	0.3166381543
166	0.8820224719	0.3163593855
167	0.8792134831	0.3161601259
168	0.8792134831	0.3157495588
169	0.8792134831	0.3156376829
170	0.8778089888	0.3150241639
171	0.8778089888	0.3148657617
172	0.8792134831	0.3143492791
173	0.8792134831	0.3140569785
174	0.8778089888	0.3139663042
175	0.8792134831	0.3137496766
176	0.8834269663	0.3131907042
177	0.8806179775	0.3128193997
178	0.8820224719	0.3125590536
179	0.8806179775	0.3122049655
180	0.8806179775	0.3117468915
181	0.8820224719	0.3111389788
182	0.8820224719	0.3106072073
183	0.8792134831	0.3103171654
184	0.8820224719	0.3100273615
185	0.8820224719	0.3095517116
186	0.8820224719	0.3090554555
187	0.8820224719	0.3090491912
188	0.8820224719	0.3088386678
189	0.8820224719	0.3086860879
190	0.8820224719	0.3082505256
191	0.8820224719	0.3078847133
192	0.8834269663	0.3076172857
193	0.8834269663	0.3073853168
194	0.8834269663	0.3070175231
195	0.8834269663	0.306752771
196	0.8834269663	0.3064450151
197	0.8834269663	0.3063816065
198	0.8834269663	0.3060646443
199	0.8834269663	0.3056410399
200	0.8834269663	0.3055232364
201	0.8834269663	0.3052665403
202	0.8834269663	0.3049778634
203	0.8834269663	0.3042679778
204	0.8834269663	0.3038682006
205	0.8862359551	0.3037120967
206	0.8862359551	0.3031684269
207	0.8848314607	0.3029430213
208	0.8876404494	0.3026178332
209	0.8862359551	0.3019528295
210	0.8862359551	0.3018008367
211	0.8862359551	0.3016908462
212	0.8876404494	0.3014684896
213	0.8876404494	0.3011339
214	0.8876404494	0.3010815086
215	0.8876404494	0.3006601392
216	0.8876404494	0.3001307658
217	0.8876404494	0.2998162202
218	0.8876404494	0.2995407231
219	0.8876404494	0.2992598422
220	0.8876404494	0.2989004252
221	0.8876404494	0.298602622
222	0.8876404494	0.2980912845
223	0.8876404494	0.297893751
224	0.8876404494	0.2977343013
225	0.8876404494	0.2976632099
226	0.8876404494	0.2970100506
227	0.8876404494	0.2966673054
228	0.8876404494	0.2963202413
229	0.8890449438	0.2960946837
230	0.8918539326	0.2954655492
231	0.8904494382	0.2950646697
232	0.8890449438	0.2947691667
233	0.8890449438	0.2945052436
234	0.8890449438	0.2944168222
235	0.8904494382	0.2937604075
236	0.8918539326	0.2933732225
237	0.8876404494	0.2929129356
238	0.8876404494	0.2928318608
239	0.8904494382	0.2923625351
240	0.8904494382	0.2918810325
241	0.8904494382	0.2914253658
242	0.8918539326	0.2910410343
243	0.8918539326	0.2907377752
244	0.8918539326	0.2905737398
245	0.8918539326	0.2903692272
246	0.8918539326	0.290198948
247	0.8918539326	0.2900514086
248	0.893258427	0.2898656925
249	0.8918539326	0.2896208828
250	0.8918539326	0.2892765977
251	0.8918539326	0.2887529085
252	0.8918539326	0.288376091
253	0.8946629213	0.2880537908
254	0.893258427	0.2878635849
255	0.893258427	0.2876873744
256	0.8946629213	0.2873682672
257	0.8946629213	0.2872834413
258	0.8946629213	0.287142281
259	0.8960674157	0.2864818004
260	0.8960674157	0.286026542
261	0.8974719101	0.2855657751
262	0.8960674157	0.2852631913
263	0.8960674157	0.2851624098
264	0.8974719101	0.2850172248
265	0.8974719101	0.2844029687
266	0.8974719101	0.2841228586
267	0.8946629213	0.2838979697
268	0.8960674157	0.283603067
269	0.8988764045	0.2830690455
270	0.8988764045	0.2829266435
271	0.8988764045	0.2827757629
272	0.9002808989	0.2823985911
273	0.9002808989	0.2819981282
274	0.8988764045	0.2818144611
275	0.8988764045	0.2817330838
276	0.8988764045	0.2813664185
277	0.9002808989	0.280835134
278	0.9002808989	0.2805700413
279	0.9002808989	0.2796547197
280	0.9016853933	0.279484057
281	0.9016853933	0.2793195286
282	0.9002808989	0.2791332833
283	0.9016853933	0.27888274
284	0.904494382	0.2785301565
285	0.904494382	0.278278319
286	0.904494382	0.2781259492
287	0.904494382	0.2779063062
288	0.904494382	0.2778361768
289	0.9016853933	0.2771757786
290	0.9016853933	0.2770949315
291	0.9016853933	0.2769795202
292	0.9030898876	0.2765854477
293	0.9030898876	0.2763377383
294	0.904494382	0.2754721208
295	0.9030898876	0.2751218073
296	0.9030898876	0.2747117292
297	0.904494382	0.2742310171
298	0.904494382	0.2736054742
299	0.904494382	0.2734261162
300	0.904494382	0.2731582613
301	0.904494382	0.2729090857
302	0.9030898876	0.2727300639
303	0.9030898876	0.272586669
304	0.904494382	0.2723471778
305	0.9073033708	0.2719516635
306	0.9073033708	0.2718670993
307	0.9087078652	0.2711478726
308	0.9087078652	0.2709125104
309	0.9101123596	0.2701624772
310	0.9101123596	0.2700846988
311	0.9101123596	0.2696190779
312	0.9101123596	0.2695324142
313	0.9101123596	0.26934695
314	0.9087078652	0.2682728454
315	0.9087078652	0.2681357848
316	0.9087078652	0.2679436038
317	0.9087078652	0.2677951382
318	0.9101123596	0.2673929919
319	0.9101123596	0.2673157752
320	0.9101123596	0.2671627637
321	0.9101123596	0.2668473574
322	0.9101123596	0.266512975
323	0.9101123596	0.266371321
