iter	Passed	Remaining
0	50	50201
1	51	25858
2	52	17604
3	55	13842
4	55	11136
5	57	9540
6	57	8219
7	59	7332
8	60	6681
9	61	6098
10	62	5583
11	62	5155
12	63	4801
13	65	4583
14	65	4303
15	65	4056
16	66	3843
17	66	3640
18	67	3469
19	67	3313
20	68	3175
21	68	3052
22	69	2939
23	70	2873
24	71	2794
25	72	2719
26	74	2672
27	74	2598
28	76	2545
29	76	2489
30	77	2431
31	78	2378
32	79	2337
33	80	2291
34	81	2248
35	82	2202
36	83	2162
37	84	2128
38	84	2079
39	85	2051
40	86	2019
41	86	1975
42	87	1951
43	88	1919
44	89	1897
45	90	1886
46	92	1869
47	93	1857
48	94	1833
49	95	1808
50	97	1805
51	97	1785
52	98	1764
53	99	1736
54	100	1723
55	101	1706
56	103	1705
57	104	1693
58	105	1681
59	106	1668
60	107	1656
61	108	1643
62	109	1631
63	110	1619
64	111	1609
65	113	1599
66	113	1585
67	114	1573
68	115	1553
69	116	1550
70	117	1540
71	118	1524
72	118	1506
73	119	1489
74	119	1473
75	119	1457
76	120	1440
77	120	1425
78	121	1410
79	121	1397
80	121	1383
81	122	1370
82	122	1357
83	123	1345
84	124	1338
85	124	1326
86	125	1315
87	125	1304
88	126	1293
89	126	1282
90	127	1272
91	127	1262
92	128	1252
93	128	1242
94	129	1233
95	129	1223
96	130	1214
97	131	1206
98	132	1202
99	133	1199
100	134	1195
101	135	1191
102	136	1188
103	137	1184
104	138	1178
105	138	1168
106	139	1160
107	139	1152
108	140	1145
109	140	1137
110	141	1130
111	141	1123
112	143	1127
113	144	1120
114	144	1113
115	145	1106
116	145	1099
117	146	1092
118	146	1085
119	147	1079
120	147	1072
121	148	1066
122	148	1059
123	149	1053
124	149	1047
125	150	1041
126	150	1035
127	151	1030
128	151	1024
129	152	1018
130	152	1013
131	153	1007
132	153	1002
133	154	996
134	154	991
135	155	986
136	155	981
137	156	976
138	156	971
139	157	966
140	157	961
141	158	956
142	158	951
143	159	946
144	159	942
145	160	937
146	160	933
147	161	928
148	161	924
149	162	919
150	162	915
151	163	911
152	163	906
153	164	902
154	164	898
155	165	894
156	165	890
157	166	886
158	166	882
159	167	878
160	167	874
161	168	870
162	168	866
163	169	862
164	169	858
165	170	855
166	170	851
167	171	848
168	171	844
169	172	840
170	172	837
171	173	833
172	173	830
173	174	826
174	174	823
175	175	819
176	175	816
177	176	813
178	176	810
179	177	806
180	177	803
181	178	800
182	178	797
183	179	794
184	179	791
185	180	788
186	180	785
187	180	781
188	181	778
189	182	776
190	182	774
191	183	771
192	183	768
193	184	765
194	184	763
195	185	760
196	185	757
197	186	755
198	186	752
199	188	754
200	189	754
201	191	754
202	191	752
203	194	757
204	195	759
205	197	759
206	198	759
207	199	758
208	200	758
209	201	757
210	202	757
211	203	756
212	204	756
213	205	755
214	206	755
215	208	757
216	209	757
217	211	756
218	212	756
219	213	755
220	214	755
221	215	754
222	216	754
223	217	753
224	218	752
225	219	752
226	220	752
227	222	751
228	223	751
229	224	751
230	225	751
231	226	750
232	228	752
233	229	752
234	230	751
235	232	753
236	234	753
237	235	753
238	237	755
239	238	756
240	239	754
241	240	751
242	240	749
243	240	746
244	241	744
245	242	741
246	242	739
247	243	736
248	243	734
249	244	732
250	244	730
251	245	727
252	245	725
253	246	723
254	246	720
255	247	718
256	249	720
257	251	722
258	252	723
259	254	722
260	255	722
261	256	722
262	257	722
263	260	726
264	261	725
265	262	724
266	263	722
267	263	720
268	264	718
269	264	716
270	265	713
271	265	711
272	266	709
273	266	707
274	267	704
275	269	706
276	270	705
277	271	704
278	272	704
279	273	703
280	274	702
281	275	701
282	276	701
283	277	700
284	279	700
285	279	698
286	280	696
287	281	695
288	281	693
289	282	690
290	282	688
291	283	686
292	283	684
293	284	682
294	284	680
295	285	678
296	285	676
297	286	674
298	287	674
299	288	673
300	289	671
301	289	669
302	290	667
303	290	665
304	291	663
305	291	661
306	292	659
307	292	657
308	293	655
309	293	653
310	294	651
311	294	649
312	295	647
313	295	645
314	296	644
315	296	642
316	297	640
317	297	638
318	298	636
319	298	634
320	299	632
321	299	631
322	300	629
323	300	627
324	301	625
325	303	628
326	304	627
327	305	626
328	307	626
329	308	625
330	309	624
331	310	624
332	311	623
333	312	622
334	313	621
335	314	621
336	315	620
337	316	619
338	317	618
339	317	617
340	318	616
341	319	615
342	320	614
343	322	614
344	322	613
345	323	612
346	324	611
347	325	610
348	326	609
349	327	608
350	329	608
351	330	608
352	331	608
353	332	607
354	333	606
355	334	605
356	336	605
357	337	604
358	338	604
359	339	603
360	340	602
361	341	601
362	342	600
363	343	600
364	344	599
365	345	597
366	346	597
367	347	596
368	348	596
369	350	596
370	351	595
371	352	594
372	353	593
373	354	592
374	355	591
375	356	591
376	357	590
377	358	589
378	359	588
379	360	587
380	361	586
381	362	585
382	363	585
383	364	584
384	364	583
385	365	582
386	366	581
387	367	580
388	368	579
389	369	578
390	370	577
391	372	577
392	373	576
393	374	575
394	375	574
395	376	573
396	377	572
397	378	571
398	379	571
399	380	570
400	381	569
401	382	568
402	383	567
403	384	567
404	385	566
405	386	565
406	387	564
407	388	563
408	389	562
409	390	561
410	391	560
411	392	559
412	393	559
413	393	557
414	394	555
415	394	554
416	395	552
417	395	551
418	396	549
419	396	548
420	397	546
421	398	546
422	399	544
423	399	543
424	400	541
425	400	539
426	401	538
427	401	536
428	401	535
429	402	533
430	402	531
431	403	530
432	403	528
433	404	527
434	404	525
435	405	524
436	405	522
437	406	521
438	406	519
439	407	518
440	407	516
441	408	515
442	408	513
443	409	512
444	409	510
445	409	509
446	410	507
447	410	506
448	411	504
449	411	503
450	412	501
451	412	500
452	413	498
453	413	497
454	413	495
455	414	494
456	414	492
457	415	491
458	415	489
459	416	488
460	416	487
461	417	485
462	417	484
463	418	483
464	418	481
465	419	480
466	419	479
467	420	477
468	421	476
469	421	475
470	422	474
471	422	472
472	423	471
473	423	470
474	424	468
475	424	467
476	425	466
477	425	465
478	426	463
479	426	462
480	427	461
481	428	460
