iter	RMSE
0	2713.29834
1	2689.448395
2	2664.799767
3	2639.58387
4	2616.628741
5	2597.02726
6	2578.264034
7	2556.185346
8	2533.861306
9	2515.533927
10	2496.730635
11	2473.245902
12	2458.487902
13	2441.694624
14	2417.29268
15	2399.753311
16	2377.813145
17	2355.550961
18	2334.901582
19	2313.758611
20	2295.907804
21	2277.819067
22	2256.284169
23	2236.07783
24	2219.503941
25	2204.972707
26	2188.252138
27	2168.133753
28	2149.788164
29	2138.261741
30	2124.912936
31	2113.440669
32	2094.197875
33	2079.219956
34	2064.999661
35	2055.253097
36	2043.175545
37	2032.487822
38	2018.261327
39	2005.617268
40	1999.320066
41	1983.874673
42	1971.063581
43	1953.479025
44	1942.551075
45	1926.908026
46	1915.313974
47	1903.004336
48	1890.157766
49	1878.506633
50	1868.869244
51	1856.54697
52	1846.020971
53	1832.822103
54	1825.216766
55	1811.617156
56	1802.431845
57	1794.379431
58	1781.165166
59	1769.874331
60	1761.903571
61	1749.345085
62	1739.017194
63	1729.667564
64	1721.351303
65	1712.911451
66	1703.682683
67	1694.224422
68	1685.275217
69	1677.262926
70	1666.083274
71	1656.69126
72	1646.969356
73	1638.773646
74	1633.184994
75	1625.882849
76	1616.807888
77	1611.479903
78	1603.236175
79	1594.676652
80	1588.305196
81	1579.952469
82	1570.570735
83	1560.774426
84	1552.859954
85	1546.105051
86	1540.773129
87	1531.795604
88	1522.603398
89	1516.831045
90	1508.043853
91	1500.955858
92	1495.240881
93	1489.384365
94	1485.393518
95	1476.95172
96	1468.27905
97	1462.756427
98	1453.54309
99	1442.293007
100	1436.062358
101	1428.739759
102	1422.116572
103	1412.971373
104	1406.477127
105	1398.037281
106	1395.651225
107	1389.285155
108	1380.589811
109	1375.668566
110	1368.128849
111	1358.281866
112	1353.729718
113	1348.711285
114	1338.729478
115	1332.813969
116	1325.379423
117	1318.450152
118	1311.758377
119	1307.259696
120	1300.373531
121	1294.580922
122	1287.822357
123	1281.923622
124	1277.498493
125	1271.570689
126	1264.750286
127	1259.12462
128	1252.283363
129	1244.173071
130	1240.688707
131	1234.94298
132	1226.665534
133	1219.800438
134	1212.511311
135	1205.290316
136	1200.107779
137	1193.544454
138	1187.862751
139	1184.788516
140	1177.400442
141	1170.497891
142	1165.022669
143	1157.365202
144	1149.882809
145	1144.429174
146	1140.347627
147	1135.145399
148	1131.051895
149	1127.362148
150	1121.389538
151	1117.31177
152	1110.625958
153	1105.28095
154	1100.376861
155	1091.555947
156	1086.151605
157	1080.830547
158	1075.902864
159	1071.919204
160	1065.537745
161	1061.416513
162	1057.04227
163	1051.158993
164	1045.098783
165	1039.341961
166	1034.080463
167	1029.448127
168	1022.219014
169	1017.843647
170	1013.962468
171	1007.209172
172	1002.928299
173	996.7070525
174	992.0196588
175	986.9584064
176	982.0249057
177	975.9825666
178	970.0289996
179	963.4441503
180	958.6452682
181	955.1442292
182	949.1524971
183	944.3236646
184	938.3984672
185	936.3413734
186	930.1791688
187	925.5636436
188	920.6739594
189	916.5743933
190	912.3156817
191	906.2652495
192	901.6735301
193	894.8705398
194	890.6891675
195	885.3782354
196	880.078754
197	875.6172183
198	869.6315522
199	863.4686589
200	860.477866
201	855.9579562
202	852.8229871
203	848.2505222
204	844.3948088
205	838.7414572
206	833.1208206
207	826.965907
208	823.2736698
209	817.9490958
210	812.2689997
211	808.0317399
212	804.0360087
213	798.4377227
214	794.8467667
