ds,y
2014-01-06,2712.4280000000003
2014-01-13,1250.473
2014-01-20,1655.958
2014-01-27,623.6659999999999
2014-02-03,14.56
2014-02-10,1779.6180000000002
2014-02-17,45.480000000000004
2014-02-24,1893.995
2014-03-03,1895.786
2014-03-10,1193.936
2014-03-17,5318.368
2014-03-24,3146.383
2014-03-31,2242.022
2014-04-07,1805.0810000000001
2014-04-14,1786.568
2014-04-21,2605.65
2014-04-28,670.6440000000001
2014-05-05,3080.26
2014-05-12,1707.294
2014-05-19,287.28400000000005
2014-05-26,3822.369
2014-06-02,3091.835
2014-06-09,4344.546
2014-06-16,1979.1275999999998
2014-06-23,1766.5569999999998
2014-06-30,711.216
2014-07-07,3591.509
2014-07-14,1402.812
2014-07-21,3617.786
2014-07-28,1760.6059999999998
2014-08-04,2621.196
2014-08-11,1146.0179999999998
2014-08-18,1867.176
2014-08-25,1423.0785
2014-09-01,1859.167
2014-09-08,11399.296
2014-09-15,4195.0380000000005
2014-09-22,3194.3518
2014-09-29,4313.877
2014-10-06,805.1020000000001
2014-10-13,4528.638
2014-10-20,1617.228
2014-10-27,4397.754
2014-11-03,3506.176
2014-11-10,3873.2736999999997
2014-11-17,9634.792000000001
2014-11-24,4360.906999999999
2014-12-01,6321.598
2014-12-08,6262.4145
2014-12-15,11779.812000000002
2014-12-22,3030.6780000000003
2014-12-29,5248.5316
2015-01-05,1079.6879999999999
2015-01-12,797.194
2015-01-19,301.742
2015-01-26,7564.25
2015-02-02,1808.942
2015-02-09,244.70399999999998
2015-02-16,35.544000000000004
2015-02-23,2457.9344
2015-03-02,3490.999
2015-03-09,1422.1440000000002
2015-03-16,690.5156
2015-03-23,5094.25
2015-03-30,2296.9179999999997
2015-04-06,491.8
2015-04-13,3812.152
2015-04-20,2718.1275
2015-04-27,3119.3729999999996
2015-05-04,632.61
2015-05-11,1666.7235
2015-05-18,841.117
2015-05-25,4660.952
2015-06-01,1557.918
2015-06-08,1824.688
2015-06-15,1651.868
2015-06-22,2541.719
2015-06-29,1620.5520000000001
2015-07-06,2071.887
2015-07-13,5135.326
2015-07-20,3732.699
2015-07-27,2645.398
2015-08-03,2497.5591999999997
2015-08-10,737.764
2015-08-17,1754.848
2015-08-24,1702.1339999999998
2015-08-31,3433.866
2015-09-07,4388.054
2015-09-14,13213.144000000002
2015-09-21,6790.79
2015-09-28,625.0719999999999
2015-10-05,2285.8255
2015-10-12,4635.1539999999995
2015-10-19,3658.905
2015-10-26,1916.0549999999998
2015-11-02,12301.111
2015-11-09,4735.0852
2015-11-16,7512.5888
2015-11-23,4122.4595
2015-11-30,10053.807
2015-12-07,2957.9900000000002
2015-12-14,3279.604
2015-12-21,7894.858200000001
2015-12-28,1781.5500000000002
2016-01-04,1708.8940000000002
2016-01-11,875.1550000000001
2016-01-18,1802.3539999999998
2016-01-25,1469.55
2016-02-01,1922.0140000000001
2016-02-08,802.491
2016-02-15,1184.854
2016-02-22,16.192
2016-02-29,2378.218
2016-03-07,2969.683
2016-03-14,4409.784
2016-03-21,1157.32
2016-03-28,4736.639
2016-04-04,2322.259
2016-04-11,3980.6670000000004
2016-04-18,3417.558
2016-04-25,1011.674
2016-05-02,3720.208
2016-05-09,119.596
2016-05-16,2419.814
2016-05-23,4974.146
2016-05-30,4397.08
2016-06-06,4048.584
2016-06-13,5039.159
2016-06-20,1172.722
2016-06-27,2652.0919999999996
2016-07-04,3383.409
2016-07-11,938.688
2016-07-18,2886.402
2016-07-25,5136.406
2016-08-01,265.576
2016-08-08,1672.1885000000002
2016-08-15,4989.024
2016-08-22,4316.8598
2016-08-29,3680.764
2016-09-05,7875.1885999999995
2016-09-12,8188.896
2016-09-19,5649.5509999999995
2016-09-26,3675.3513
2016-10-03,2357.5600000000004
2016-10-10,1488.15
2016-10-17,3256.664
2016-10-24,1937.192
2016-10-31,9356.070800000001
2016-11-07,11346.386
2016-11-14,2779.9759999999997
2016-11-21,9404.303
2016-11-28,6087.365
2016-12-05,10282.552
2016-12-12,8186.791
2016-12-19,10181.337
2016-12-26,4078.778
2017-01-02,1806.41
2017-01-09,269.58
2017-01-16,1942.327
2017-01-23,326.34999999999997
2017-01-30,962.915
2017-02-06,1940.545
2017-02-13,2716.0204
2017-02-20,1890.732
2017-02-27,1296.464
2017-03-06,1237.43
2017-03-13,951.646
2017-03-20,4827.308
2017-03-27,3846.4728
2017-04-03,1775.1585
2017-04-10,1300.053
2017-04-17,2660.362
2017-04-24,2064.5085999999997
2017-05-01,7563.8318
2017-05-08,2854.305
2017-05-15,4315.426
2017-05-22,1684.1029999999998
2017-05-29,3189.5964
2017-06-05,2604.894
2017-06-12,5614.8634999999995
2017-06-19,3534.2229999999995
2017-06-26,4604.9022
2017-07-03,2807.842
2017-07-10,2963.551
2017-07-17,4442.237
2017-07-24,1562.432
2017-07-31,505.432
2017-08-07,2670.686
2017-08-14,5592.79
2017-08-21,4854.588
2017-08-28,5900.241
2017-09-04,6038.825
2017-09-11,8620.542000000001
2017-09-18,8494.12
2017-09-25,2389.576
2017-10-02,4619.608
2017-10-09,6753.495
2017-10-16,5757.599200000001
2017-10-23,2891.848
2017-10-30,8570.84
2017-11-06,6318.566000000001
2017-11-13,7207.634999999999
2017-11-20,6914.896
2017-11-27,16008.172
2017-12-04,8794.404
2017-12-11,4639.819
2017-12-18,7274.043
2017-12-25,4037.5648
